code	statyear	channel	station	quadrat	year	season	chanstat	chanyear	date2	date	work	connect	flow_a	yearseason	workstat	trueyear	falseyear
BEARDo09Sp	BEARDo09	BEAR	Do	1	2009	Sp	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Sp	FDo	2009	2009
BEARDo09Sp	BEARDo09	BEAR	Do	2	2009	Sp	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Sp	FDo	2009	2009
BEARDo09Sp	BEARDo09	BEAR	Do	3	2009	Sp	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Sp	FDo	2009	2009
BEARDo09Su	BEARDo09	BEAR	Do	1	2009	Su	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Su	FDo	2009	2009
BEARDo09Su	BEARDo09	BEAR	Do	2	2009	Su	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Su	FDo	2009	2009
BEARDo09Su	BEARDo09	BEAR	Do	4	2009	Su	BEARDo	BEAR2009	15.05.2009	15.05.2009	F	6	inter	2009Su	FDo	2009	2009
BEARDo11Sp	BEARDo11	BEAR	Do	1	2011	Sp	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Sp	FDo	2011	2011
BEARDo11Sp	BEARDo11	BEAR	Do	2	2011	Sp	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Sp	FDo	2011	2011
BEARDo11Sp	BEARDo11	BEAR	Do	4	2011	Sp	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Sp	FDo	2011	2011
BEARDo11Su	BEARDo11	BEAR	Do	2	2011	Su	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Su	FDo	2011	2011
BEARDo11Su	BEARDo11	BEAR	Do	3	2011	Su	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Su	FDo	2011	2011
BEARDo11Su	BEARDo11	BEAR	Do	4	2011	Su	BEARDo	BEAR2011	15.05.2011	15.05.2011	F	6	inter	2011Su	FDo	2011	2011
BEARDo12Sp	BEARDo12	BEAR	Do	2	2012	Sp	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Sp	FDo	2012	2012
BEARDo12Sp	BEARDo12	BEAR	Do	3	2012	Sp	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Sp	FDo	2012	2012
BEARDo12Sp	BEARDo12	BEAR	Do	4	2012	Sp	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Sp	FDo	2012	2012
BEARDo12Su	BEARDo12	BEAR	Do	2	2012	Su	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Su	FDo	2012	2012
BEARDo12Su	BEARDo12	BEAR	Do	3	2012	Su	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Su	FDo	2012	2012
BEARDo12Su	BEARDo12	BEAR	Do	4	2012	Su	BEARDo	BEAR2012	15.05.2012	15.05.2012	F	6	inter	2012Su	FDo	2012	2012
BEARDo15Sp	BEARDo15	BEAR	Do	1	2015	Sp	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Sp	FDo	2015	2015
BEARDo15Sp	BEARDo15	BEAR	Do	3	2015	Sp	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Sp	FDo	2015	2015
BEARDo15Sp	BEARDo15	BEAR	Do	4	2015	Sp	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Sp	FDo	2015	2015
BEARDo15Su	BEARDo15	BEAR	Do	2	2015	Su	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Su	FDo	2015	2015
BEARDo15Su	BEARDo15	BEAR	Do	3	2015	Su	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Su	FDo	2015	2015
BEARDo15Su	BEARDo15	BEAR	Do	4	2015	Su	BEARDo	BEAR2015	15.05.2015	15.05.2015	F	6	inter	2015Su	FDo	2015	2015
CHANUp04Sp	CHANUp03	CHAN	Up	1	2003	Sp	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Sp	UUp	2003	2003
CHANUp04Sp	CHANUp03	CHAN	Up	3	2003	Sp	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Sp	UUp	2003	2003
CHANUp04Sp	CHANUp03	CHAN	Up	4	2003	Sp	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Sp	UUp	2003	2003
CHANUp04Su	CHANUp03	CHAN	Up	2	2003	Su	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Su	UUp	2003	2003
CHANUp04Su	CHANUp03	CHAN	Up	3	2003	Su	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Su	UUp	2003	2003
CHANUp04Su	CHANUp03	CHAN	Up	4	2003	Su	CHANUp	CHAN2003	15.05.2004	15.11.2003	U	9	yes	2004Su	UUp	2003	2003
CHANUp07Sp	CHANUp07	CHAN	Up	2	2007	Sp	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Sp	UUp	2007	2007
CHANUp07Sp	CHANUp07	CHAN	Up	3	2007	Sp	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Sp	UUp	2007	2007
CHANUp07Sp	CHANUp07	CHAN	Up	4	2007	Sp	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Sp	UUp	2007	2007
CHANUp07Su	CHANUp07	CHAN	Up	2	2007	Su	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Su	UUp	2007	2007
CHANUp07Su	CHANUp07	CHAN	Up	3	2007	Su	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Su	UUp	2007	2007
CHANUp07Su	CHANUp07	CHAN	Up	4	2007	Su	CHANUp	CHAN2007	15.05.2007	15.05.2007	U	9	yes	2007Su	UUp	2007	2007
CHANUp09Sp	CHANUp09	CHAN	Up	1	2009	Sp	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Sp	UUp	2009	2009
CHANUp09Sp	CHANUp09	CHAN	Up	3	2009	Sp	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Sp	UUp	2009	2009
CHANUp09Sp	CHANUp09	CHAN	Up	4	2009	Sp	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Sp	UUp	2009	2009
CHANUp09Su	CHANUp09	CHAN	Up	2	2009	Su	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Su	UUp	2009	2009
CHANUp09Su	CHANUp09	CHAN	Up	3	2009	Su	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Su	UUp	2009	2009
CHANUp09Su	CHANUp09	CHAN	Up	4	2009	Su	CHANUp	CHAN2009	15.05.2009	15.05.2009	U	9	yes	2009Su	UUp	2009	2009
CHANUp11Sp	CHANUp11	CHAN	Up	1	2011	Sp	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Sp	UUp	2011	2011
CHANUp11Sp	CHANUp11	CHAN	Up	2	2011	Sp	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Sp	UUp	2011	2011
CHANUp11Sp	CHANUp11	CHAN	Up	4	2011	Sp	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Sp	UUp	2011	2011
CHANUp11Su	CHANUp11	CHAN	Up	1	2011	Su	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Su	UUp	2011	2011
CHANUp11Su	CHANUp11	CHAN	Up	2	2011	Su	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Su	UUp	2011	2011
CHANUp11Su	CHANUp11	CHAN	Up	4	2011	Su	CHANUp	CHAN2011	15.05.2011	15.05.2011	U	9	yes	2011Su	UUp	2011	2011
CHANUp12Sp	CHANUp12	CHAN	Up	1	2012	Sp	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Sp	UUp	2012	2012
CHANUp12Sp	CHANUp12	CHAN	Up	2	2012	Sp	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Sp	UUp	2012	2012
CHANUp12Sp	CHANUp12	CHAN	Up	3	2012	Sp	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Sp	UUp	2012	2012
CHANUp12Su	CHANUp12	CHAN	Up	1	2012	Su	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Su	UUp	2012	2012
CHANUp12Su	CHANUp12	CHAN	Up	2	2012	Su	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Su	UUp	2012	2012
CHANUp12Su	CHANUp12	CHAN	Up	4	2012	Su	CHANUp	CHAN2012	15.05.2012	15.05.2012	U	9	yes	2012Su	UUp	2012	2012
CHANUp15Sp	CHANUp15	CHAN	Up	2	2015	Sp	CHANUp	CHAN2015	15.05.2015	15.05.2015	U	9	yes	2015Sp	UUp	2015	2015
CHANUp15Sp	CHANUp15	CHAN	Up	3	2015	Sp	CHANUp	CHAN2015	15.05.2015	15.05.2015	U	9	yes	2015Sp	UUp	2015	2015
CHANUp15Sp	CHANUp15	CHAN	Up	4	2015	Sp	CHANUp	CHAN2015	15.05.2015	15.05.2015	U	9	yes	2015Sp	UUp	2015	2015
CHANDo04Sp	CHANDo03	CHAN	Do	1	2003	Sp	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Sp	UDo	2003	2003
CHANDo04Sp	CHANDo03	CHAN	Do	2	2003	Sp	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Sp	UDo	2003	2003
CHANDo04Sp	CHANDo03	CHAN	Do	4	2003	Sp	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Sp	UDo	2003	2003
CHANDo04Su	CHANDo03	CHAN	Do	1	2003	Su	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Su	UDo	2003	2003
CHANDo04Su	CHANDo03	CHAN	Do	2	2003	Su	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Su	UDo	2003	2003
CHANDo04Su	CHANDo03	CHAN	Do	4	2003	Su	CHANDo	CHAN2003	15.05.2004	15.11.2003	U	11	yes	2004Su	UDo	2003	2003
CHANDo07Sp	CHANDo07	CHAN	Do	1	2007	Sp	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Sp	UDo	2007	2007
CHANDo07Sp	CHANDo07	CHAN	Do	3	2007	Sp	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Sp	UDo	2007	2007
CHANDo07Sp	CHANDo07	CHAN	Do	4	2007	Sp	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Sp	UDo	2007	2007
CHANDo07Su	CHANDo07	CHAN	Do	1	2007	Su	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Su	UDo	2007	2007
CHANDo07Su	CHANDo07	CHAN	Do	3	2007	Su	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Su	UDo	2007	2007
CHANDo07Su	CHANDo07	CHAN	Do	4	2007	Su	CHANDo	CHAN2007	15.05.2007	15.05.2007	U	11	yes	2007Su	UDo	2007	2007
CHANDo09Sp	CHANDo09	CHAN	Do	2	2009	Sp	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Sp	UDo	2009	2009
CHANDo09Sp	CHANDo09	CHAN	Do	3	2009	Sp	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Sp	UDo	2009	2009
CHANDo09Sp	CHANDo09	CHAN	Do	4	2009	Sp	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Sp	UDo	2009	2009
CHANDo09Su	CHANDo09	CHAN	Do	1	2009	Su	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Su	UDo	2009	2009
CHANDo09Su	CHANDo09	CHAN	Do	2	2009	Su	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Su	UDo	2009	2009
CHANDo09Su	CHANDo09	CHAN	Do	4	2009	Su	CHANDo	CHAN2009	15.05.2009	15.05.2009	U	11	yes	2009Su	UDo	2009	2009
CHANDo11Sp	CHANDo11	CHAN	Do	1	2011	Sp	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Sp	UDo	2011	2011
CHANDo11Sp	CHANDo11	CHAN	Do	3	2011	Sp	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Sp	UDo	2011	2011
CHANDo11Sp	CHANDo11	CHAN	Do	4	2011	Sp	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Sp	UDo	2011	2011
CHANDo11Su	CHANDo11	CHAN	Do	2	2011	Su	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Su	UDo	2011	2011
CHANDo11Su	CHANDo11	CHAN	Do	3	2011	Su	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Su	UDo	2011	2011
CHANDo11Su	CHANDo11	CHAN	Do	4	2011	Su	CHANDo	CHAN2011	15.05.2011	15.05.2011	U	11	yes	2011Su	UDo	2011	2011
CHANDo12Sp	CHANDo12	CHAN	Do	2	2012	Sp	CHANDo	CHAN2012	15.05.2012	15.05.2012	U	11	yes	2012Sp	UDo	2012	2012
CHANDo12Sp	CHANDo12	CHAN	Do	3	2012	Sp	CHANDo	CHAN2012	15.05.2012	15.05.2012	U	11	yes	2012Sp	UDo	2012	2012
CHANDo12Sp	CHANDo12	CHAN	Do	4	2012	Sp	CHANDo	CHAN2012	15.05.2012	15.05.2012	U	11	yes	2012Sp	UDo	2012	2012
CHANDo12Su	CHANDo12	CHAN	Do	1	2012	Su	CHANDo	CHAN2012	15.05.2012	15.05.2012	U	11	yes	2012Su	UDo	2012	2012
